,SG_UF,SG_UE,NM_UE,CD_MUNICIPIO,NM_MUNICIPIO,NR_PARTIDO,SG_PARTIDO,QT_VOTOS_NOMINAIS
281356,SP,BR,BRASIL,67350,MONTEIRO LOBATO,13,PT,844
281357,SP,BR,BRASIL,71072,SÃO PAULO,13,PT,36866
281358,TO,BR,BRASIL,73547,SANTA RITA DO TOCANTINS,13,PT,598
282113,SC,BR,BRASIL,80985,BOMBINHAS,13,PT,1974
282114,SC,BR,BRASIL,81752,JARAGUÁ DO SUL,13,PT,8636
282115,SC,BR,BRASIL,81833,LAGES,13,PT,5910
282124,RS,BR,BRASIL,89001,ALMIRANTE TAMANDARÉ DO SUL,13,PT,573
282125,MT,BR,BRASIL,90590,CHAPADA DOS GUIMARÃES,13,PT,5091
282126,GO,BR,BRASIL,93041,PROFESSOR JAMIL,13,PT,948
282127,GO,BR,BRASIL,95419,PIRANHAS,13,PT,3133
282128,AC,BR,BRASIL,1015,CAPIXABA,17,PSL,3895
282142,MA,BR,BRASIL,7536,CAROLINA,17,PSL,4032
282143,MA,BR,BRASIL,7641,GOVERNADOR NEWTON BELLO,17,PSL,757
282144,PI,BR,BRASIL,10723,CAMPO GRANDE DO PIAUÍ,17,PSL,344
282145,PI,BR,BRASIL,12483,OLHO D ÁGUA DO PIAUÍ,17,PSL,278
282912,MG,BR,BRASIL,41246,ORIZÂNIA,17,PSL,1625
282913,MG,BR,BRASIL,42080,FRUTA DE LEITE,17,PSL,503
282914,MG,BR,BRASIL,45551,GRÃO MOGOL,17,PSL,1865
282915,MG,BR,BRASIL,47899,MANHUMIRIM,17,PSL,6019
282916,MG,BR,BRASIL,50393,POMPÉU,17,PSL,7677
282917,MG,BR,BRASIL,51098,RIO PARANAÍBA,17,PSL,3519
282927,RJ,BR,BRASIL,60011,RIO DE JANEIRO,17,PSL,33883
282928,SP,BR,BRASIL,65390,ITAJOBI,17,PSL,7102
282929,SP,BR,BRASIL,67830,ORIENTE,17,PSL,2601
282937,PA,BR,BRASIL,5738,RONDON DO PARÁ,13,PT,8530
282938,MA,BR,BRASIL,7030,ALCÂNTARA,13,PT,9125
282939,MA,BR,BRASIL,7048,ALTO ALEGRE DO PINDARÉ,13,PT,11513
282940,CE,BR,BRASIL,14176,IPU,13,PT,18089
282944,SP,BR,BRASIL,71510,SUZANO,17,PSL,53078
282945,PR,BR,BRASIL,74942,DOUTOR ULYSSES,17,PSL,1532
282946,PR,BR,BRASIL,75183,CAMPINA DO SIMÃO,17,PSL,929
282947,PR,BR,BRASIL,75353,CURITIBA,17,PSL,79469
282948,PR,BR,BRASIL,78239,RIO NEGRO,17,PSL,14557
282949,SC,BR,BRASIL,82074,MASSARANDUBA,17,PSL,8665
283622,SC,BR,BRASIL,82538,PINHALZINHO,17,PSL,6942
283623,SC,BR,BRASIL,83810,WITMARSUM,17,PSL,1924
283628,PB,BR,BRASIL,19178,ARARA,13,PT,4904
283629,PB,BR,BRASIL,19216,AREIA,13,PT,10765
283630,PB,BR,BRASIL,20192,EMAS,13,PT,1678
283631,PE,BR,BRASIL,25992,TAQUARITINGA DO NORTE,13,PT,8009
283635,RS,BR,BRASIL,85170,ARATIBA,17,PSL,2831
283636,MT,BR,BRASIL,90689,TAPURAH,17,PSL,4259
283637,GO,BR,BRASIL,93408,BONÓPOLIS,17,PSL,777
283638,TO,BR,BRASIL,96954,ALIANÇA DO TOCANTINS,17,PSL,1215
283648,BA,BR,BRASIL,34363,CARAÍBAS,13,PT,4323
283649,BA,BR,BRASIL,37753,PARATINGA,13,PT,13574
283650,MG,BR,BRASIL,40010,ABADIA DOS DOURADOS,13,PT,1821
283651,MG,BR,BRASIL,40630,ARAÇAÍ,13,PT,684
283652,MG,BR,BRASIL,40959,AUGUSTO DE LIMA,13,PT,1367
283653,MG,BR,BRASIL,41343,PIEDADE DE CARATINGA,13,PT,1848
283662,MG,BR,BRASIL,54313,MATHIAS LOBATO,13,PT,937
283663,RJ,BR,BRASIL,58653,NITERÓI,13,PT,29469
283664,SP,BR,BRASIL,63312,CERQUILHO,13,PT,4010
284414,SP,BR,BRASIL,70831,SÃO JOÃO DA BOA VISTA,13,PT,10015
284415,SP,BR,BRASIL,71072,SÃO PAULO,13,PT,20686
284416,TO,BR,BRASIL,73113,LAGOA DO TOCANTINS,13,PT,1250
284417,SC,BR,BRASIL,80284,SERRA ALTA,13,PT,806
284418,SC,BR,BRASIL,80713,CANELINHA,13,PT,1133
284419,SC,BR,BRASIL,81736,JAGUARUNA,13,PT,2115
284430,RS,BR,BRASIL,87220,NOVA PÁDUA,13,PT,134
284431,RS,BR,BRASIL,88064,VALE DO SOL,13,PT,3046
284432,GO,BR,BRASIL,92630,BARRO ALTO,13,PT,2587
284433,GO,BR,BRASIL,95877,SANTA TEREZA DE GOIÁS,13,PT,934
284443,AM,BR,BRASIL,2291,EIRUNEPÉ,17,PSL,3137
284444,MA,BR,BRASIL,7498,CÂNDIDO MENDES,17,PSL,1942
284445,MA,BR,BRASIL,7722,ITINGA DO MARANHÃO,17,PSL,4905
284446,MA,BR,BRASIL,8443,SÃO ROBERTO,17,PSL,417
284459,CE,BR,BRASIL,13730,CAUCAIA,17,PSL,26663
284460,PB,BR,BRASIL,20150,DONA INÊS,17,PSL,936
284461,PB,BR,BRASIL,20478,JACARAÚ,17,PSL,2413
284462,PE,BR,BRASIL,23302,JAQUEIRA,17,PSL,1469
284782,AM,BR,BRASIL,2550,MANAUS,13,PT,22279
284783,PA,BR,BRASIL,4120,ELDORADO DOS CARAJÁS,13,PT,6733
284784,AP,BR,BRASIL,6114,FERREIRA GOMES,13,PT,2143
284785,MA,BR,BRASIL,8591,PASTOS BONS,13,PT,7930
284786,MA,BR,BRASIL,8850,PRIMEIRA CRUZ,13,PT,5131
284813,PE,BR,BRASIL,23418,BOM CONSELHO,13,PT,18763
284814,PE,BR,BRASIL,25313,RECIFE,13,PT,46095
285273,BA,BR,BRASIL,30856,CANUDOS,17,PSL,1142
285274,BA,BR,BRASIL,36692,JUAZEIRO,17,PSL,17607
285289,MG,BR,BRASIL,50555,PRATA,17,PSL,7194
285290,MG,BR,BRASIL,51411,SALTO DA DIVISA,17,PSL,1018
285306,PR,BR,BRASIL,74675,CALIFÓRNIA,17,PSL,3655
285307,PR,BR,BRASIL,75256,CORNÉLIO PROCÓPIO,17,PSL,19513
